fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2020-11-30,USD,19067000000,12540000000,5494000000,5494000000,5612000000,None,6527000000,4872000000,None,None,None,986000000,None,None,None,373000000,669000000,14480000000,10521000000,None,None,None,110000000,3959000000,2705000000,1253000000,124000000,None,None,1028000000,694000000,4587000000,None,None,4587000000,258944852
2020-08-31,USD,21202000000,14551000000,5136000000,5136000000,7459000000,None,6651000000,2265000000,None,341000000,341000000,986000000,None,None,545000000,383000000,3400000000,14999000000,12945000000,None,None,None,670000000,2054000000,2802000000,1256000000,670000000,None,None,1751000000,798000000,4086000000,None,3659000000,26000000,258000000
2020-05-31,USD,15605000000,8996000000,3919000000,3919000000,3993000000,None,6609000000,2291000000,None,362000000,362000000,986000000,None,None,0,335000000,3332000000,10119000000,8804000000,None,None,None,1923000000,1315000000,2759000000,621000000,1923000000,None,None,1471000000,694000000,3410000000,None,3126000000,26000000,258000000
2020-02-29,USD,15591000000,8857000000,2229000000,2229000000,5174000000,None,6734000000,2328000000,-6900000000,362000000,362000000,984000000,None,89000000,117000000,305000000,3422000000,9974000000,8060000000,None,None,None,14000000,1914000000,2759000000,1257000000,1923000000,None,None,1442000000,657000000,3479000000,None,3158000000,26000000,257000000
2019-11-30,USD,16926000000,10175000000,1205000000,1205000000,7569000000,None,6751000000,2359000000,None,363000000,363000000,982000000,None,70000000,0,345000000,3410000000,11601000000,9726000000,None,None,None,14000000,1875000000,2798000000,1239000000,14000000,None,None,1089000000,636000000,3125000000,None,2809000000,26000000,256494000
2019-08-31,USD,14978000000,8192000000,1289000000,1289000000,5208000000,None,6786000000,2361000000,None,402000000,402000000,965000000,None,78000000,320000000,409000000,3460000000,9463000000,7576000000,None,None,None,14000000,1887000000,2844000000,1247000000,14000000,None,None,1111000000,640000000,3285000000,None,2965000000,26000000,265000000
2019-05-31,USD,14550000000,8014000000,1561000000,1561000000,5195000000,None,6536000000,2334000000,None,416000000,416000000,915000000,None,28000000,320000000,425000000,3287000000,9023000000,7171000000,None,None,None,14000000,1852000000,2873000000,1193000000,14000000,None,None,1313000000,659000000,3354000000,None,3038000000,27000000,267000000
2019-02-28,USD,12901000000,8870000000,1980000000,1980000000,5409000000,None,4031000000,2510000000,-6690000000,None,None,915000000,None,None,None,466000000,606000000,9595000000,7513000000,None,None,None,56000000,2082000000,None,None,None,None,None,736000000,750000000,3306000000,None,2985000000,27000000,265703000
2018-11-30,USD,15000000000,10901000000,1228000000,1228000000,8168000000,None,4099000000,2525000000,None,383000000,383000000,921000000,None,None,76000000,508000000,653000000,11988000000,9933000000,None,None,None,46000000,2055000000,None,1302000000,46000000,None,None,730000000,775000000,3012000000,0,2685000000,27000000,272000000
2018-08-31,USD,11993000000,8771000000,1865000000,1865000000,5016000000,None,3222000000,2432000000,None,18000000,18000000,425000000,None,None,465000000,510000000,365000000,8807000000,7229000000,None,None,None,47000000,1578000000,None,808000000,47000000,None,None,713000000,777000000,3186000000,0,2863000000,27000000,276000000
2018-05-31,USD,12082000000,8930000000,1848000000,1848000000,4964000000,None,3152000000,2385000000,None,18000000,18000000,425000000,None,None,785000000,473000000,342000000,8662000000,7055000000,None,None,None,550000000,1607000000,None,807000000,550000000,None,None,656000000,815000000,3420000000,0,3082000000,28000000,281000000
2018-02-28,USD,13049000000,9829000000,1101000000,1101000000,5209000000,None,3220000000,2421000000,-6279000000,443000000,443000000,425000000,None,None,2032000000,438000000,374000000,9437000000,7817000000,None,None,None,544000000,1620000000,None,811000000,499000000,None,None,838000000,809000000,3612000000,0,3270000000,28000000,282988000
2017-08-31,USD,14785000000,11405000000,1103000000,1103000000,6663000000,None,3380000000,2352000000,None,443000000,443000000,425000000,None,None,2237000000,431000000,603000000,10633000000,9152000000,None,None,None,545000000,1481000000,None,784000000,500000000,None,None,801000000,697000000,4152000000,0,3818000000,30000000,296000000
2017-05-31,USD,13444000000,10078000000,1365000000,1365000000,5167000000,None,3366000000,2327000000,None,443000000,443000000,425000000,None,None,2125000000,456000000,614000000,9097000000,7105000000,None,None,None,44000000,1992000000,None,1310000000,1354000000,None,None,810000000,682000000,4347000000,0,3996000000,30000000,300000000
2017-02-28,USD,12955000000,9656000000,1651000000,1651000000,4637000000,None,3299000000,2287000000,None,443000000,443000000,425000000,None,None,1948000000,409000000,587000000,8456000000,6470000000,None,None,None,45000000,1986000000,None,1302000000,45000000,None,None,760000000,684000000,8732000000,0,4202000000,31000000,306000000
2016-11-30,USD,13856000000,10516000000,2240000000,2240000000,4864000000,None,3340000000,2293000000,-5850000000,443000000,443000000,425000000,None,13000000,1681000000,384000000,622000000,9147000000,7122000000,None,None,None,44000000,2025000000,None,1321000000,1365000000,None,None,845000000,704000000,4709000000,0,4399000000,31000000,311108000
