fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2020-11-30,USD,1020000000,None,None,None,None,211000000,179000000,None,1865000000,None,365000000,-1046000000,None,None,None,None,-142000000,-142000000,None,None,None,None,-250000000,None,None,None,816000000
2020-08-31,USD,2961000000,None,None,None,None,414000000,340000000,None,-3314000000,None,-204000000,-332000000,None,None,None,None,-284000000,-284000000,None,None,None,None,-40000000,None,None,None,591000000
2020-05-31,USD,827000000,None,None,None,None,207000000,178000000,383000000,1136000000,None,-179000000,1049000000,None,None,None,None,-141000000,-141000000,None,None,None,None,-62000000,None,1697000000,None,159000000
2020-02-29,USD,1628000000,None,None,None,None,205000000,157000000,-95000000,2396000000,None,-168000000,-438000000,None,None,None,None,-129000000,-129000000,None,None,None,None,-304000000,None,1022000000,None,745000000
2019-11-30,USD,312000000,None,None,None,None,206000000,201000000,-93000000,-2358000000,None,101000000,-484000000,None,None,None,None,-131000000,-131000000,None,None,None,None,-350000000,None,-71000000,None,293000000
2019-08-31,USD,623000000,None,None,None,None,201000000,192000000,-125000000,-8000000,None,-636000000,-350000000,None,None,None,None,-133000000,-133000000,None,None,None,None,-214000000,None,-363000000,None,238000000
2019-05-31,USD,2000000,None,None,None,None,200000000,193000000,182000000,207000000,None,-192000000,-226000000,None,None,None,None,-134000000,-134000000,None,None,None,None,-87000000,None,-416000000,None,265000000
2019-02-28,USD,1301000000,None,None,None,None,220000000,200000000,-93000000,2756000000,None,-66000000,-492000000,None,None,None,None,-121000000,-121000000,None,None,None,None,-360000000,None,745000000,2000000,735000000
2018-11-30,USD,-1000000,None,None,None,None,192000000,244000000,1000000,-3137000000,None,-626000000,-2000000,None,None,None,None,-123000000,-123000000,None,None,None,None,-362000000,None,-629000000,None,277000000
2018-08-31,USD,904000000,None,None,None,None,182000000,194000000,-69000000,-56000000,None,127000000,-1008000000,None,None,None,None,-125000000,-125000000,None,None,None,None,-369000000,None,19000000,-4000000,244000000
2018-05-31,USD,204000000,None,None,None,None,176000000,181000000,189000000,243000000,None,1073000000,-516000000,None,None,None,None,-128000000,-128000000,None,None,None,None,-376000000,None,749000000,-12000000,208000000
2018-02-28,USD,938000000,None,None,None,None,183000000,199000000,-98000000,1476000000,None,14000000,-962000000,None,None,None,None,-99000000,-99000000,None,None,None,None,-848000000,None,15000000,31000000,364000000
2017-08-31,USD,511000000,None,None,None,None,171000000,193000000,12000000,-1526000000,None,-308000000,-461000000,None,None,None,None,-102000000,-102000000,None,None,None,None,-347000000,None,-258000000,None,239000000
2017-05-31,USD,449000000,None,None,None,None,168000000,143000000,68000000,-508000000,None,-285000000,-461000000,None,None,None,None,-103000000,-103000000,None,None,None,None,-348000000,None,-291000000,None,209000000
2017-02-28,USD,243000000,None,None,None,None,161000000,153000000,333000000,223000000,None,-423000000,-413000000,None,None,None,None,-105000000,-105000000,None,None,None,None,-298000000,None,-599000000,-6000000,188000000
2016-11-30,USD,1150000000,None,None,None,None,163000000,137000000,-265000000,1563000000,None,-31000000,-217000000,None,None,None,None,-88000000,-88000000,None,None,None,None,-121000000,None,899000000,-3000000,607000000
2016-08-31,USD,107000000,None,None,None,None,164000000,169000000,-160000000,-1530000000,None,-361000000,-254000000,None,None,None,None,-89000000,-89000000,None,None,None,None,-158000000,None,-520000000,-12000000,194000000
2016-05-31,USD,805000000,None,None,None,None,165000000,140000000,167000000,-205000000,None,-495000000,-321000000,None,None,None,None,-90000000,-90000000,None,None,None,None,-217000000,None,16000000,-15000000,198000000
2016-02-29,USD,483000000,None,None,None,None,162000000,136000000,73000000,365000000,None,-42000000,-612000000,None,None,None,None,-238000000,-238000000,None,None,None,None,-31000000,None,-131000000,40000000,229000000
2015-11-30,USD,859000000,None,None,None,None,163000000,156000000,-106000000,1580000000,None,199000000,-754000000,None,None,None,None,-78000000,-78000000,None,None,None,None,-667000000,None,279000000,-25000000,479000000
2015-08-31,USD,155000000,None,None,None,None,168000000,200000000,-39000000,-1662000000,None,-140000000,-121000000,None,None,None,None,-80000000,-80000000,None,None,None,None,-48000000,None,-103000000,3000000,125000000
