fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2020-11-30,USD,3543000000,16937000000,13394000000,13394000000,1175000000,2368000000,None,15762000000,None,-9000000,10000000,9000000,None,None,None,None,1043000000,227000000,None,816000000,None,1263000000,None,816000000
2020-08-31,USD,2270000000,9910000000,7640000000,7640000000,561000000,1682000000,None,1702000000,None,-11000000,-7000000,11000000,None,5000000,None,None,555000000,164000000,None,391000000,None,783000000,None,391000000
2020-05-31,USD,1965000000,8562000000,6597000000,6597000000,229000000,1716000000,None,1736000000,None,-17000000,-11000000,17000000,None,6000000,None,None,218000000,59000000,None,159000000,None,442000000,None,159000000
2020-02-29,USD,3235000000,8562000000,11961000000,11961000000,967000000,2268000000,None,-12928000000,None,-17000000,None,14000000,None,14000000,None,None,967000000,222000000,None,745000000,None,981000000,None,745000000
2019-11-30,USD,2361000000,9764000000,7403000000,7403000000,395000000,1973000000,None,1966000000,None,-14000000,-6000000,16000000,None,10000000,None,None,389000000,96000000,None,293000000,None,611000000,None,293000000
2019-08-31,USD,2283000000,9536000000,7253000000,7253000000,313000000,1918000000,None,-7566000000,None,-16000000,-6000000,16000000,None,10000000,None,None,307000000,69000000,None,238000000,None,524000000,None,238000000
2019-05-31,USD,2169000000,9142000000,6973000000,6973000000,334000000,1838000000,None,1835000000,None,-16000000,None,18000000,None,14000000,None,None,330000000,65000000,None,265000000,None,548000000,None,265000000
2019-02-28,USD,3235000000,15196000000,11961000000,11961000000,978000000,2264000000,None,2268000000,None,None,None,58000000,None,14000000,None,None,934000000,-505000000,None,1439000000,None,1186000000,None,735000000
2018-11-30,USD,2324000000,9590000000,7266000000,7266000000,322000000,2000000000,0,2002000000,None,None,None,15000000,None,23000000,None,None,330000000,-53000000,None,383000000,None,514000000,None,277000000
2018-08-31,USD,2229000000,9379000000,7150000000,7150000000,335000000,1873000000,0,1894000000,None,None,None,19000000,None,13000000,None,None,329000000,85000000,None,244000000,None,530000000,None,244000000
2018-05-31,USD,2125000000,9109000000,6984000000,6984000000,265000000,1829000000,0,1860000000,None,None,None,-19000000,None,11000000,None,None,295000000,49000000,None,246000000,None,452000000,None,208000000
2018-02-28,USD,3283000000,14801000000,11518000000,11518000000,872000000,2304000000,0,2305000000,None,None,None,18000000,None,19000000,None,None,873000000,-1127000000,None,2000000000,None,1212000000,None,364000000
2017-08-31,USD,2153000000,8940000000,6787000000,6787000000,350000000,1826000000,0,1832000000,None,None,None,20000000,None,12000000,None,None,342000000,104000000,None,238000000,None,496000000,None,239000000
2017-05-31,USD,2022000000,8528000000,6506000000,6506000000,321000000,1723000000,0,1722000000,None,None,None,18000000,None,7000000,None,None,310000000,101000000,None,209000000,None,472000000,None,209000000
2017-02-28,USD,3421000000,15363000000,11942000000,11942000000,300000000,2537000000,0,2549000000,None,None,None,19000000,None,11000000,None,None,292000000,104000000,None,188000000,None,791000000,None,188000000
2016-11-30,USD,3030000000,13482000000,10452000000,10452000000,881000000,2140000000,0,2149000000,None,None,None,18000000,None,10000000,None,None,873000000,266000000,None,607000000,None,891000000,None,607000000
2016-08-31,USD,2203000000,8945000000,6742000000,6742000000,312000000,1890000000,0,1891000000,None,None,None,16000000,None,8000000,None,None,304000000,112000000,None,192000000,None,320000000,None,194000000
2016-05-31,USD,2062000000,8533000000,6306000000,6306000000,290000000,1772000000,0,1773000000,None,None,None,18000000,None,8000000,None,None,279000000,97000000,None,182000000,None,297000000,None,198000000
2016-02-29,USD,2145000000,8443000000,6319000000,6319000000,372000000,1722000000,0,1773000000,None,None,None,20000000,None,8000000,None,None,360000000,134000000,None,226000000,None,380000000,None,229000000
2015-11-30,USD,2951000000,13623000000,10672000000,10672000000,771000000,2167000000,0,2180000000,None,None,None,20000000,None,-1000000,None,None,750000000,273000000,None,477000000,None,770000000,None,479000000
2015-08-31,USD,2112000000,8819000000,6707000000,6707000000,230000000,1873000000,0,1882000000,None,None,None,20000000,None,3000000,None,None,213000000,84000000,None,129000000,None,233000000,None,125000000
