date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2021-03-16,100.5,114.59,95.93,113.45,113.45,39333888.0,0.0
2021-02-26,109.45,123.3,99.79,100.35,100.35,48559171.0,0.0
2021-01-29,99.62,117.98,98.6601,108.82,108.82,54546741.0,0.0
2020-12-31,108.78,109.49,99.25,99.79,99.79,75570157.0,0.55
2020-11-30,112.97,124.89,108.57,108.8,108.2124,69679686.0,0.0
2020-10-30,112.69,123.67,109.6,111.55,110.9475,42934360.0,0.0
2020-09-30,110.99,114.43,102.8254,111.29,110.6889,44650476.0,0.55
2020-08-31,100.07,119.48,99.75,110.91,109.7505,59591576.0,0.0
2020-07-31,87.42,100.68,84.07,99.59,98.5488,49991591.0,0.0
2020-06-30,77.02,88.22,75.27,87.27,86.3576,63894367.0,0.55
2020-05-29,74.84,87.69,70.71,78.09,76.7569,61402748.0,0.0
2020-04-30,54.7,80.89,51.71,76.73,75.4201,55227605.0,0.0
2020-03-31,76.25,81.43,48.11,57.0,56.0269,86445963.0,0.55
2020-02-28,85.39,91.99,73.34,75.65,73.6088,45750362.0,0.0
2020-01-31,88.39,91.83,84.53,84.69,82.4049,47652700.0,0.0
2019-12-31,81.0,89.5,77.05,87.8,85.431,55248825.0,0.5
2019-11-29,72.4,83.63,71.89,80.64,78.0095,63460886.0,0.0
2019-10-31,69.2,75.4,63.52,71.83,69.4869,43722499.0,0.0
2019-09-30,63.03,69.9,62.48,68.99,66.7395,47206372.0,0.5
2019-08-30,76.71,77.23,62.04,63.65,61.1186,79335684.0,0.0
2019-07-31,71.24,78.53,70.91,76.53,73.4864,47130668.0,0.0
2019-06-28,62.39,69.82,61.58,69.73,66.9568,48591462.0,0.5
2019-05-31,74.41,75.53,62.37,62.67,59.7144,77770464.0,0.0
2019-04-30,71.36,75.91,71.09,74.41,70.9007,47650662.0,0.0
2019-03-29,69.64,73.34,66.36,71.06,67.7087,77683659.0,0.5
2019-02-28,59.24,70.73,57.78,68.84,65.1274,70501700.0,0.0
2019-01-31,52.19,59.54,50.94,59.24,56.0452,70681251.0,0.0
2018-12-31,66.09,67.56,47.72,52.96,50.1039,94560531.0,0.45
2018-11-30,70.07,75.11,60.07,64.59,60.6414,103339921.0,0.0
2018-10-31,79.57,79.82,66.08,70.16,65.8709,72454214.0,0.0
2018-09-28,79.51,81.66,76.44,79.36,74.5085,59821289.0,0.45
2018-08-31,75.19,84.37,74.31,79.56,74.2625,84483106.0,0.0
2018-07-31,74.33,78.79,72.84,75.03,70.0341,47353819.0,0.0
2018-06-29,68.5,77.97,67.91,74.58,69.6141,75674801.0,0.45
2018-05-31,76.21,79.9,67.55,68.25,63.3167,87752079.0,0.0
2018-04-30,69.87,78.22,67.99,76.53,70.9982,59127063.0,0.0
2018-03-29,74.45,77.32,66.65,69.99,64.9309,95423788.0,0.45
2018-02-28,72.57,74.36,65.05,72.44,66.7648,64234217.0,0.0
2018-01-31,68.26,78.59,66.11,73.06,67.3362,66839095.0,0.0
2017-12-29,59.75,68.98,58.82,68.47,63.1058,71375616.0,0.34
2017-11-30,56.18,60.52,52.92,59.61,54.6353,92886975.0,0.0
2017-10-31,57.11,59.46,54.02,55.98,51.3082,68536847.0,0.0
2017-09-29,54.44,58.76,51.61,56.96,52.2064,108259562.0,0.34
2017-08-31,58.6,63.32,53.45,54.26,49.4387,118528716.0,0.0
2017-07-31,57.87,59.69,52.97,58.34,53.1561,76795031.0,0.0
2017-06-30,59.36,60.35,54.65,57.33,52.2359,84623160.0,0.34
2017-05-31,51.99,61.95,50.29,59.39,53.7967,86266862.0,0.0
2017-04-28,48.96,52.67,47.68,51.81,46.9305,69183834.0,0.0
2017-03-31,42.55,49.35,41.67,49.15,44.5211,120806613.0,0.34
2017-02-28,44.58,46.45,43.27,44.13,39.6777,80936278.0,0.0
2017-01-31,43.05,45.83,41.79,44.52,40.0283,86930063.0,0.0
2016-12-30,45.55,49.4,42.34,42.67,38.365,105362668.0,0.28
2016-11-30,38.93,47.29,37.1,45.7,40.8456,157429518.0,0.0
2016-10-31,38.15,40.21,37.62,38.91,34.7768,83111715.0,0.0
2016-09-30,38.555,39.26,36.51,38.18,34.1244,98261520.0,0.28
2016-08-31,33.41,40.58,32.02,38.48,34.1333,169633528.0,0.0
2016-07-29,30.66,33.63,29.79,33.6,29.8045,80394413.0,0.0
2016-06-30,32.17,32.68,28.76,30.6,27.1434,108029004.0,0.28
2016-05-31,32.29,33.22,30.05,32.17,28.2672,129620601.0,0.0
2016-04-29,32.17,33.66,29.81,32.08,28.1881,71105390.0,0.0
2016-03-31,32.75,34.95,31.005,32.44,28.5045,103028955.0,0.73
2016-02-29,27.84,32.83,26.1,32.39,27.8217,119977124.0,0.0
2016-01-29,29.84,31.2,25.31,27.93,23.9907,139987901.0,0.0
2015-12-31,31.83,31.89,28.88,30.45,26.1553,95330886.0,0.23
2015-11-30,35.14,36.51,28.65,31.78,27.0958,135464022.0,0.0
2015-10-30,37.25,38.1195,34.07,35.03,29.8667,72780433.0,0.0
2015-09-30,35.96,39.095,35.19,37.12,31.6487,100261040.0,0.23
2015-08-31,32.21,36.94,28.32,36.74,31.1363,114723058.0,0.0
2015-07-31,32.95,35.34,31.68,32.29,27.365,81043412.0,0.0
2015-06-30,34.85,35.5,32.56,32.61,27.6362,80186108.0,0.23
2015-05-29,34.76,37.18,33.73,34.7,29.2088,111533903.0,0.0
2015-04-30,37.63,38.88,34.49,34.65,29.1667,86157761.0,0.0
2015-03-31,38.2,42.0,37.75,37.79,31.8098,115006087.0,0.74
2015-02-27,35.14,39.47,34.1325,38.1,31.4993,93047456.0,0.0
2015-01-30,39.17,40.0,33.17,35.2,29.1018,165437073.0,0.0
2014-12-31,38.87,40.03,35.17,38.98,32.2269,123481438.0,0.19
2014-11-28,34.14,39.79,33.66,39.41,32.4135,125567946.0,0.0
2014-10-31,33.34,34.68,28.8,34.14,28.0791,122312234.0,0.0
2014-09-30,32.03,35.53,31.0799,33.59,27.6267,111674430.0,0.19
2014-08-29,29.44,32.75,28.85,31.89,26.0728,114456135.0,0.0
2014-07-31,31.15,32.24,29.24,29.73,24.3068,84169600.0,0.0
2014-06-30,27.56,31.48,27.17,31.01,25.3533,82744400.0,0.17
2014-05-30,26.13,28.25,24.57,27.66,22.4848,121409000.0,0.0
2014-04-30,26.41,27.935,23.87,25.93,21.0785,129086800.0,0.0
2014-03-31,26.4,27.2,24.7,26.41,21.4686,132154800.0,0.17
2014-02-28,23.54,28.2,22.3,26.63,21.5062,190433800.0,0.0
2014-01-31,39.75,41.0,22.15,23.54,19.0108,352826600.0,0.0
2013-12-31,40.59,43.19,39.32,39.88,32.2068,93760000.0,0.17
2013-11-29,43.37,44.66,37.91,40.55,32.6129,143327800.0,0.0
2013-10-31,37.56,43.85,34.88,42.8,34.4224,128067500.0,0.0
2013-09-30,36.44,39.28,36.44,37.5,30.1599,99047800.0,0.17
2013-08-30,30.18,36.65,30.05,36.0,28.8211,148008500.0,0.0
2013-07-31,27.9,30.36,27.72,30.09,24.0896,100616800.0,0.0
2013-06-28,28.23,28.37,25.78,27.33,21.88,106262900.0,0.17
2013-05-31,25.69,28.26,24.98,27.55,21.92,149336200.0,0.0
2013-04-30,22.13,26.92,21.474,25.99,20.6788,277624100.0,0.0
2013-03-28,17.38,23.46,16.12,22.15,17.6235,300211300.0,0.17
2013-02-28,16.38,17.76,13.83,16.41,12.9575,162702000.0,0.0
2013-01-31,12.14,16.36,11.38,16.26,12.8391,218480500.0,0.0
2012-12-31,13.11,14.48,11.2,11.85,9.3569,216660800.0,0.17
2012-11-30,15.25,16.25,11.41,13.11,10.2071,216888900.0,0.0
2012-10-31,17.2,18.53,14.71,15.21,11.8421,107170500.0,0.0
2012-09-28,17.72,18.79,16.78,17.2,13.3914,108186900.0,0.17
2012-08-31,18.17,21.6,16.25,17.74,13.6842,290123300.0,0.0
2012-07-31,21.88,23.57,16.97,18.09,13.9542,203764575.0,0.0
2012-06-29,18.29,21.59,17.92,20.96,16.1681,208272300.0,0.16
2012-05-31,22.06,22.69,17.53,18.72,14.3255,169041000.0,0.0
2012-04-30,23.24,23.9804,21.13,22.07,16.8891,191162300.0,0.16
2012-03-30,24.84,27.95,23.39,23.68,17.9898,177563600.0,0.0
2012-02-29,24.13,26.29,23.76,24.7,18.7647,94376600.0,0.0
2012-01-31,23.7,25.99,22.85,23.95,18.1949,112698800.0,0.0
2011-12-30,26.86,28.525,22.48,23.37,17.7543,163197500.0,0.16
2011-11-30,25.52,28.42,25.33,27.09,20.4389,128627900.0,0.0
2011-10-31,23.19,27.6,21.79,26.23,19.79,122994600.0,0.0
2011-09-30,25.59,26.1,22.74,23.3,17.5794,180637700.0,0.16
2011-08-31,27.96,28.03,23.25,25.59,19.1755,173262100.0,0.0
2011-07-29,31.38,32.65,27.25,27.6,20.6816,124105000.0,0.0
2011-06-30,31.76,32.85,28.31,31.41,23.5366,200870300.0,0.15
2011-05-31,31.4,32.4,30.18,31.76,23.6858,120404400.0,0.0
2011-04-29,28.86,31.33,28.09,31.22,23.283,171206700.0,0.15
2011-03-31,32.31,33.22,28.52,28.72,21.3134,212945600.0,0.0
2011-02-28,34.14,35.45,32.0,32.24,23.9256,130065700.0,0.0
2011-01-31,34.1,36.33,33.6,34.0,25.2318,140146600.0,0.0
2010-12-31,43.33,43.75,33.4,34.29,25.447,232541300.0,0.15
2010-11-30,42.98,45.63,42.0,42.72,31.5649,97302800.0,0.0
2010-10-29,41.07,43.85,39.7,42.98,31.757,119084800.0,0.15
2010-09-30,31.78,41.21,31.77,40.83,30.0578,144681000.0,0.0
2010-08-31,35.11,36.21,30.9,31.39,23.1083,119785300.0,0.0
2010-07-30,33.68,37.04,32.81,34.66,25.5156,143592800.0,0.14
2010-06-30,41.76,42.65,33.77,33.86,24.8248,195223300.0,0.0
2010-05-28,45.93,46.7201,39.0,42.25,30.976,155852400.0,0.0
2010-04-30,42.96,48.83,42.37,45.52,33.3735,146141700.0,0.14
2010-03-31,36.58,44.79,36.28,42.54,31.0913,189869600.0,0.0
2010-02-26,36.82,37.47,35.01,36.5,26.6768,104761500.0,0.0
2010-01-29,39.84,41.59,36.05,36.65,26.7864,136127700.0,0.0
2009-12-31,43.28,45.55,39.26,39.46,28.8402,169846300.0,0.14
2009-11-30,38.35,44.32,38.01,42.83,31.1925,104963800.0,0.0
2009-10-30,37.43,41.28,36.3,38.18,27.806,107364600.0,0.14
2009-09-30,36.11,41.48,35.66,37.52,27.2207,166615500.0,0.0
2009-08-31,37.94,39.86,34.62,36.28,26.3211,120948700.0,0.0
2009-07-31,33.67,37.78,31.25,37.37,27.1119,137359200.0,0.14
2009-06-30,35.67,39.98,32.7,33.49,24.1912,180970400.0,0.0
2009-05-29,38.2,41.58,33.99,35.1,25.3542,161356100.0,0.0
2009-04-30,37.63,42.06,37.14,38.38,27.7235,167300500.0,0.14
2009-03-31,28.29,39.25,23.97,37.96,27.3197,284776800.0,0.0
2009-02-27,27.28,30.89,26.8,28.82,20.7417,186512800.0,0.0
2009-01-30,27.96,31.73,25.56,28.02,20.1659,189159500.0,0.14
2008-12-31,19.92,29.66,18.49,28.11,20.1336,181141300.0,0.0
