
Stellantis, NAN, STLA
Hyundai, NAN, HYMTF
Honda, NAN, HMC
Ford, NAN, F
Suzuki, NAN, SZKMF
Nissan, NAN, NSANY
Subaru, NAN, FUJHY
Apple, NAN, AAPL
Samsung, NAN, SSNHY
Alphabet class A, NAN, GOOG
Microsoft, NAN, MSFT
Dell, NAN, DEL
Sony, NAN, SNE
IBM, NAN, IBM
Intel, NAN, INTC
Facebook, NAN, FB
Cisco, NAN, CSCO
Oracle, NAN, ORCL
SAP, NAN, SAP
Adobe, NAN, ADBE
Netflix, NAN, NFLX
HP, NAN, HPQ
Johnson & Johnson, NAN, JNJ
Roche, NAN, ROG
Novartis, NAN, NVS
Pfizer, NAN, PFE
Merck & Co, NAN, MRK
Abbott, NAN, ABT
NovoNordisk, NAN, NVO
AstraZeneca, NAN, AZN
Bayer, NAN, BAYN
GlaxoSmithKline, NAN, GSK
Gilead Sciences, NAN, GLD
Sanofi, NAN, SNY
Vertex, NAN, VRTX
Zoetis, NAN, ZTS
Amgen, NAN, AMGN
Exxon Mobil Corporation , NYSE, XOM
Chevron Corporation , NYSE, CVX
Enterprise Products , NYSE, EPD
ConocoPhillips , NYSE, COP
EOG Resources , NYSE, EOG
Occidental Petroleum Corporation , NYSE, OXY
Kinder Morgan , NYSE, KMI
Halliburton , NYSE, HAL
BP , NYSE, BP
Equinor ASA , NYSE, EQNR
JinkoSolar Holding Co Ltd , NYSE, JKS
Brookfield Renewable Partners LP , NYSE, BEP
First Solar Inc , NYSE, FSLR
Canadian Solar Inc , NASDAQ, CSIQ
Renewable Energy Group Inc , NASDAQ, REGI
SunPower Corp , NASDAQ, SPWR
Amazon , NASDAQ, AMZN
Ebay , NASDAQ, EBAY
Alibaba , NYSE, BABA
JDcom , NASDAQ, JD
Groupon Inc , NASDAQ, GRPN
Overstockcom Inc , NASDAQ, OSTK
Carvana Co , NYSE, CVNA
Chewy Inc , NYSE, CHWY
Target , NYSE, TGT
Walmart , NYSE, WMT
Wayfair , NYSE, W
Macy's , NYSE, M
Costco , NASDAQ, COST
Best Buy , NYSE, BBY
