fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2020-12-31,USD,16169000000,5370000000,2054000000,2054000000,None,2886000000,10799000000,2661000000,2568000000,5573000000,974000000,4599000000,None,None,None,430000000,287000000,23782000000,5153000000,1255000000,None,1427000000,None,8167000000,2278000000,8045000000,1338000000,5369000000,None,263000000,440000000,2709000000,None,868000000,None,102000000
2020-09-30,USD,15745000000,5084000000,2025000000,2025000000,None,2624000000,10661000000,2573000000,2435000000,5500000000,994000000,4506000000,None,None,None,435000000,367000000,23235000000,3648000000,1025000000,None,130000000,None,9312000000,2224000000,6805000000,130000000,6545000000,None,177000000,353000000,2649000000,None,766000000,None,91000000
2020-06-30,USD,15641000000,5030000000,2285000000,2285000000,None,2244000000,10611000000,2597000000,2291000000,5437000000,1015000000,4422000000,None,None,None,501000000,351000000,23714000000,3329000000,840000000,None,198000000,None,9678000000,2230000000,7335000000,198000000,6939000000,None,158000000,307000000,2484000000,None,672000000,None,91000000
2020-03-31,USD,14562000000,4006000000,1127000000,1127000000,None,2415000000,10556000000,2632000000,2138000000,5441000000,1046000000,4395000000,None,None,None,464000000,340000000,21332000000,3385000000,1057000000,None,716000000,None,8449000000,2145000000,6286000000,260000000,5766000000,None,166000000,337000000,2578000000,None,804000000,None,91000000
2019-12-31,USD,14128000000,3342000000,377000000,377000000,None,2500000000,10786000000,2704000000,2054000000,5542000000,1092000000,4450000000,None,None,None,465000000,295000000,20094000000,3258000000,1157000000,None,610000000,84000000,7974000000,2244000000,5350000000,84000000,5182000000,None,135000000,364000000,2743000000,None,786000000,None,92000000
2019-09-30,USD,13916000000,3426000000,425000000,425000000,None,2577000000,10490000000,2589000000,1905000000,5488000000,1114000000,4374000000,None,None,None,424000000,303000000,19522000000,3207000000,1132000000,None,64000000,64000000,7744000000,2125000000,5249000000,64000000,5121000000,None,140000000,328000000,2572000000,None,680000000,None,92000000
2019-06-30,USD,14314000000,3790000000,497000000,497000000,None,2723000000,10524000000,2551000000,1855000000,5619000000,1168000000,4451000000,None,None,None,570000000,280000000,20309000000,3671000000,1176000000,None,340000000,340000000,7731000000,2092000000,5814000000,340000000,5134000000,None,183000000,378000000,2505000000,None,563000000,None,92000000
2019-03-31,USD,14196000000,3683000000,376000000,376000000,None,2816000000,10513000000,2559000000,1709000000,5647000000,1204000000,4443000000,None,None,None,554000000,260000000,18182000000,3441000000,1188000000,None,114000000,114000000,7922000000,2034000000,5749000000,114000000,5362000000,None,184000000,387000000,2438000000,None,428000000,None,93000000
2018-12-31,USD,12270000000,3688000000,502000000,502000000,None,2648000000,8582000000,2605000000,1585000000,5720000000,1253000000,4467000000,None,None,None,590000000,257000000,14053000000,3313000000,1258000000,None,367000000,367000000,4987000000,None,4672000000,367000000,3902000000,None,208000000,488000000,3575000000,None,377000000,None,116000000
2018-09-30,USD,12676100000,3830300000,427900000,427900000,None,2914900000,8845800000,2705200000,1454800000,5793500000,1298700000,4494800000,None,None,None,487500000,347100000,13422900000,2995100000,1231800000,None,84000000,84000000,5091200000,None,4399200000,84000000,4005300000,None,161400000,499100000,4181500000,None,286100000,100000,126900000
2018-06-30,USD,12619700000,3713300000,361400000,361400000,None,2855900000,8906400000,2692100000,1334100000,5846400000,1340500000,4505900000,None,None,None,496000000,367900000,14249000000,2940100000,1209200000,None,84900000,84900000,5539900000,None,4778000000,84900000,4406100000,None,144200000,551500000,3732000000,None,177900000,100000,120800000
2018-03-31,USD,12961300000,3805500000,380000000,380000000,None,2858400000,9155800000,2725500000,1239100000,6037800000,1410400000,4627400000,None,None,None,567100000,392500000,15166000000,3012100000,1214300000,None,90000000,90000000,5844300000,None,5039700000,90000000,4612100000,None,206000000,652500000,3680700000,None,32600000,100000,120600000
2017-12-31,USD,12601600000,3587900000,396900000,396900000,None,2725300000,9013700000,2663700000,1109500000,5998900000,1435300000,4563600000,None,None,None,465700000,351100000,14620500000,2997100000,1250700000,None,103700000,103700000,5594500000,None,4919800000,103700000,4417500000,None,116900000,596100000,3604400000,None,-42600000,100000,119900000
2017-09-30,USD,12358200000,3581700000,473100000,473100000,None,2601000000,8776500000,2602100000,980600000,6002300000,1468000000,4534300000,None,None,None,507600000,172100000,14824000000,2907700000,1158000000,None,90000000,90000000,5752100000,None,4721000000,90000000,4541000000,None,142300000,464600000,3308800000,None,-259500000,100000,119600000
2017-06-30,USD,11931900000,3258300000,291400000,291400000,None,2481900000,8673600000,2542200000,846600000,5957400000,1490700000,4466700000,None,None,None,485000000,170900000,15081300000,2733700000,1077700000,None,117000000,117000000,5948400000,None,4988300000,117000000,4754300000,None,143500000,419500000,2880200000,None,-321700000,100000,112500000
2017-03-31,USD,11688300000,3096100000,342000000,342000000,None,2338000000,8592200000,2531200000,705100000,5853700000,1501000000,4352700000,None,None,None,416100000,204300000,15063600000,2597300000,990700000,None,135000000,135000000,6003100000,None,5080900000,135000000,4810900000,None,125100000,375400000,2741200000,None,-372400000,100000,111622997
2016-12-31,USD,11698400000,3073600000,373400000,373400000,40100000,2530800000,8624800000,2537400000,589900000,5860500000,1534700000,4325800000,None,None,None,386900000,224200000,15146500000,2731600000,1056300000,None,136500000,136500000,5929200000,None,5004500000,136500000,4731500000,None,156700000,373900000,2700000000,None,-392900000,100000,111087027
2016-09-30,USD,12419300000,3171700000,360300000,360300000,None,2338400000,9247600000,2711300000,543700000,6325500000,1591400000,4734100000,None,None,None,473000000,208700000,26806400000,2693900000,912000000,None,117100000,117100000,6649500000,None,5297300000,117100000,5297300000,None,188300000,370900000,2722000000,None,-428900000,100000,110739400
2016-06-30,USD,12430300000,3106000000,377800000,377800000,None,2266400000,9324300000,2754500000,464100000,6369500000,1637500000,4732000000,None,None,None,461800000,197700000,26933000000,2640200000,986100000,None,121100000,121100000,6712900000,None,5342700000,121100000,5342700000,None,141800000,373600000,2728400000,None,-443000000,100000,110146754
2016-03-31,USD,12592300000,3041100000,279000000,279000000,50600000,2376800000,9551200000,2820300000,349900000,6491200000,1704200000,4787000000,None,None,None,497000000,236900000,27446500000,2712900000,997700000,None,134300000,134300000,6797800000,None,5379100000,134300000,5379100000,None,228600000,396900000,3081600000,None,-488200000,100000,109736757
