fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2020-12-31,USD,193000000,None,None,None,None,201000000,149000000,-230000000,None,None,-133000000,-46000000,None,None,None,None,None,None,None,None,None,None,-22000000,None,14000000,None,128000000
2020-09-30,USD,298000000,None,None,None,None,199000000,122000000,-338000000,None,None,-52000000,-519000000,None,None,None,None,None,None,None,None,None,None,-21000000,None,-273000000,None,98000000
2020-06-30,USD,214000000,None,None,None,None,200000000,116000000,142000000,None,None,-93000000,1033000000,None,None,None,None,None,None,None,None,None,None,-114000000,None,1154000000,None,-134000000
2020-03-31,USD,180000000,None,None,None,None,187000000,139000000,44000000,None,None,-79000000,668000000,None,None,None,None,-1000000,-1000000,None,None,None,None,-114000000,None,769000000,None,25000000
2019-12-31,USD,349000000,None,None,None,None,198000000,188000000,123000000,None,None,-126000000,-280000000,None,None,None,None,-5000000,-5000000,None,None,None,None,-258000000,None,-57000000,None,107000000
2019-09-30,USD,278000000,None,None,None,None,193000000,177000000,99000000,None,None,-21000000,-326000000,None,None,None,None,-1000000,-1000000,None,None,None,None,-1347000000,None,-69000000,None,136000000
2019-06-30,USD,260000000,None,None,None,None,184000000,118000000,-43000000,None,None,-14000000,-124000000,None,None,None,None,-1000000,-1000000,None,None,None,None,-120000000,None,122000000,None,145000000
2019-03-31,USD,-96000000,None,None,None,None,185000000,118000000,-246000000,None,None,-14000000,-29000000,None,None,None,None,-1000000,-1000000,None,None,None,None,-1227000000,None,-125000000,None,52000000
2018-12-31,USD,565800000,None,None,None,None,192700000,137900000,249000000,None,None,-65600000,-419500000,None,None,None,None,-3900000,-3900000,None,None,None,None,-535500000,None,80700000,None,90600000
2018-09-30,USD,288200000,None,None,None,None,183300000,145400000,-83300000,0,None,-138600000,-81200000,None,None,None,None,-2500000,-2500000,None,None,None,None,348500000,None,68400000,None,115200000
2018-06-30,USD,267400000,None,None,None,None,179900000,125600000,-78300000,0,None,-64100000,-245300000,None,None,None,None,-900000,-900000,None,None,None,None,0,None,-42000000,None,159100000
2018-03-31,USD,-19400000,None,None,None,None,175100000,142100000,-100400000,0,None,-131700000,126000000,None,None,None,None,-700000,-700000,None,None,None,None,0,None,-25100000,None,79100000
2017-12-31,USD,273900000,None,None,None,None,174200000,113900000,-120300000,0,None,-94400000,-262900000,None,None,None,None,-3300000,-3300000,None,None,None,None,0,None,-76200000,7200000,207100000
2017-09-30,USD,293700000,None,None,None,None,172100000,127900000,-87300000,0,None,-110500000,-5000000,None,None,None,None,-1600000,-1600000,None,None,None,None,287600000,None,181700000,3500000,71000000
2017-06-30,USD,216000000,None,None,None,None,169500000,139600000,-97300000,0,None,-117900000,-152100000,None,None,None,None,-1000000,-1000000,None,None,None,None,0,None,-50600000,3400000,57200000
2017-03-31,USD,15000000,None,None,None,None,162000000,122400000,-15200000,0,None,-101900000,53600000,None,None,None,None,-700000,-700000,None,None,None,None,0,None,-31400000,1900000,24900000
2016-12-31,USD,220800000,None,None,None,None,162700000,164900000,-74700000,0,None,394000000,-597500000,None,None,None,None,-2900000,-2900000,None,None,None,None,-1400000,None,13100000,-4200000,32100000
2016-09-30,USD,137000000,None,None,None,None,174100000,94500000,-84500000,0,None,-71900000,-83300000,None,None,None,None,-1000000,-1000000,None,None,None,None,0,None,-17500000,500000,21300000
2016-06-30,USD,267600000,None,None,None,None,161500000,109300000,-25400000,0,None,-82900000,-76000000,None,None,None,None,-800000,-800000,None,None,None,None,0,None,98800000,-3000000,46600000
2016-03-31,USD,6900000,None,None,None,None,162100000,114700000,30900000,0,None,-97200000,75800000,None,None,None,None,-700000,-700000,None,None,None,None,0,None,-10800000,3700000,-19300000
2015-12-31,USD,51400000,None,None,None,None,174700000,134600000,10100000,0,None,-2390200000,1342700000,None,None,None,None,-600000,-600000,None,None,None,None,1260000000,None,-995500000,600000,-62900000
