fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2020-12-31,USD,2390000000,4665000000,-2275000000,-2275000000,228000000,-516000000,None,-2107000000,None,-85000000,0,-85000000,4687000000,20000000,None,-194000000,158000000,-33000000,-85000000,128000000,96000000,228000000,422000000,125000000
2020-09-30,USD,2183000000,4221000000,-2038000000,-2038000000,223000000,-499000000,None,-1931000000,None,-86000000,0,-86000000,4250000000,20000000,None,-193000000,152000000,-59000000,-86000000,98000000,156000000,223000000,416000000,93000000
2020-06-30,USD,1861000000,3502000000,-1641000000,-1641000000,-141000000,-632000000,None,-2002000000,None,-82000000,0,-82000000,3499000000,21000000,None,-196000000,-202000000,71000000,-82000000,-134000000,-113000000,-141000000,55000000,-131000000
2020-03-31,USD,1966000000,3864000000,-1898000000,-1898000000,81000000,-525000000,None,-1858000000,None,-72000000,0,-72000000,35000000,18000000,None,-183000000,33000000,-10000000,-72000000,25000000,-42000000,81000000,264000000,23000000
2019-12-31,USD,2105000000,4136000000,-2031000000,-2031000000,202000000,-448000000,None,-1801000000,None,-74000000,0,-74000000,-12479000000,13000000,None,-193000000,137000000,-30000000,-74000000,107000000,167000000,202000000,395000000,107000000
2019-09-30,USD,2086000000,4154000000,-2068000000,-2068000000,229000000,-456000000,None,-1824000000,None,-75000000,0,-75000000,4192000000,11000000,None,-186000000,164000000,-34000000,-75000000,136000000,78000000,229000000,415000000,130000000
2019-06-30,USD,2130000000,4238000000,-2108000000,-2108000000,258000000,-455000000,None,-1872000000,None,-72000000,0,-72000000,4230000000,13000000,None,-180000000,181000000,-46000000,-72000000,145000000,135000000,258000000,438000000,135000000
2019-03-31,USD,2024000000,4120000000,-2096000000,-2096000000,132000000,-486000000,None,-1871000000,None,-71000000,0,-71000000,14000000,17000000,None,-180000000,66000000,-19000000,-76000000,52000000,48000000,132000000,312000000,47000000
2018-12-31,USD,2123600000,4388900000,-2265300000,-2265300000,126000000,-485300000,None,-4262900000,None,-51700000,0,-51700000,26400000,40900000,None,-188800000,118400000,-27000000,-51600000,90600000,-3600000,126000000,314800000,91400000
2018-09-30,USD,2086500000,4335100000,-2248600000,-2248600000,209000000,-447200000,None,-4126100000,None,-51000000,0,-51000000,-20100000,18300000,None,-179900000,150000000,-41000000,-67800000,115200000,98500000,209000000,388900000,109000000
2018-06-30,USD,2089000000,4363500000,-2274500000,-2274500000,228000000,-454300000,None,-4135500000,None,-54900000,0,-54900000,10000000,30200000,None,-176400000,203200000,-54200000,-54900000,159100000,51700000,228000000,404400000,149000000
2018-03-31,USD,2815800000,4191500000,-1375700000,-1375700000,141000000,-450200000,None,-4050500000,None,-59400000,0,-59400000,-22300000,19600000,None,-170900000,72400000,200000,-69700000,79100000,105400000,141000000,311900000,72600000
2017-12-31,USD,2812200000,4193900000,-1381700000,-1381700000,137800000,-445200000,None,-4056100000,None,-61900000,0,-61900000,-26100000,9400000,None,-169300000,56600000,147900000,-84300000,207100000,287800000,137800000,307100000,204500000
2017-09-30,USD,2628400000,3887100000,-1258700000,-1258700000,186800000,-398900000,None,-3700300000,None,-72500000,0,-72500000,-19600000,6700000,None,-167300000,92900000,-30400000,-77100000,71000000,102500000,186800000,354100000,62500000
2017-06-30,USD,2566100000,3760300000,-1194200000,-1194200000,185000000,-411500000,None,-3575300000,None,-74300000,0,-74300000,-28300000,2600000,None,-164400000,79700000,-27800000,-74300000,57200000,124800000,185000000,349400000,51900000
2017-03-31,USD,2401800000,3539500000,-1137700000,-1137700000,113600000,-400900000,None,-3425900000,None,-75600000,0,-75600000,-19600000,-3300000,None,-157400000,11500000,9800000,-84600000,24900000,47500000,113600000,271000000,21300000
2016-12-31,USD,2472300000,3676600000,-1204300000,-1204300000,86600000,-1521000000,None,-3590000000,None,-80300000,0,-80300000,28300000,-200000,None,-158000000,34400000,-2300000,-96800000,45300000,-38800000,86600000,244600000,32100000
2016-09-30,USD,2560400000,3713800000,-1153400000,-1153400000,168800000,-44100000,None,-3545000000,None,-93000000,0,-93000000,-54500000,2700000,None,-161800000,17800000,-2700000,-146200000,15100000,-9500000,168800000,330600000,15100000
2016-06-30,USD,2553100000,3683300000,-1130200000,-1130200000,170300000,-44100000,None,-3513000000,None,-94700000,0,-94700000,-100000,7900000,None,-161500000,79600000,-33000000,-94700000,46600000,-6600000,170300000,331800000,46600000
2016-03-31,USD,2439500000,3545700000,-1106200000,-1106200000,62400000,-42000000,None,-3483300000,None,-93100000,0,-93100000,-3100000,-1200000,None,-162100000,-38200000,15700000,-93100000,-19300000,2500000,62400000,224500000,-22500000
